Date,open,Hour,Min,classification
20210101,13997.9,9,16,1
20210101,14014.85,9,17,-1
20210101,14008.05,9,18,1
20210101,14013.65,9,19,1
20210101,14015.45,9,20,-1
20210101,14016.0,9,21,1
20210101,14020.7,9,22,-1
20210101,14018.4,9,23,1
20210101,14020.0,9,24,-1
20210101,14010.25,9,25,1
20210101,14014.3,9,26,-1
20210101,14007.35,9,27,1
20210101,14012.4,9,28,1
20210101,14014.4,9,29,1
20210101,14017.95,9,30,1
20210101,14019.0,9,31,1
20210101,14026.3,9,32,-1
20210101,14026.4,9,33,-1
20210101,14023.1,9,34,-1
20210101,14021.25,9,35,-1
20210101,14020.5,9,36,-1
20210101,14016.85,9,37,1
20210101,14007.95,9,38,-1
20210101,14006.8,9,39,1
20210101,14016.9,9,40,1
20210101,14017.55,9,41,1
20210101,14019.75,9,42,1
20210101,14023.1,9,43,-1
20210101,14022.75,9,44,1
20210101,14024.15,9,45,-1
20210101,14025.05,9,46,1
20210101,14031.25,9,47,-1
20210101,14031.4,9,48,-1
20210101,14030.75,9,49,-1
20210101,14031.2,9,50,-1
20210101,14030.95,9,51,-1
20210101,14028.25,9,52,-1
20210101,14028.9,9,53,-1
20210101,14028.0,9,54,-1
20210101,14026.9,9,55,-1
20210101,14024.55,9,56,1
20210101,14027.85,9,57,1
20210101,14031.4,9,58,-1
20210101,14031.1,9,59,1
20210101,14032.35,10,00,1
20210101,14032.5,10,01,-1
20210101,14027.4,10,02,-1
20210101,14027.35,10,03,1
20210101,14027.45,10,04,-1
20210101,14025.75,10,05,1
20210101,14027.0,10,06,-1
20210101,14025.35,10,07,-1
20210101,14019.5,10,08,-1
20210101,14016.7,10,09,1
20210101,14019.55,10,10,1
20210101,14020.05,10,11,1
20210101,14020.95,10,12,1
20210101,14025.6,10,13,-1
20210101,14024.3,10,14,1
20210101,14025.05,10,15,1
20210101,14024.6,10,16,-1
20210101,14024.0,10,17,1
20210101,14024.95,10,18,1
20210101,14025.35,10,19,-1
20210101,14023.95,10,20,-1
20210101,14020.35,10,21,1
20210101,14022.15,10,22,1
20210101,14023.55,10,23,1
20210101,14025.6,10,24,1
20210101,14025.95,10,25,1
20210101,14026.2,10,26,1
20210101,14028.25,10,27,1
20210101,14031.4,10,28,1
20210101,14034.8,10,29,1
20210101,14035.6,10,30,-1
20210101,14033.35,10,31,-1
20210101,14032.85,10,32,-1
20210101,14027.65,10,33,-1
20210101,14027.2,10,34,1
20210101,14030.15,10,35,1
20210101,14029.55,10,36,-1
20210101,14028.65,10,37,1
20210101,14028.4,10,38,-1
20210101,14027.5,10,39,-1
20210101,14024.05,10,40,1
20210101,14023.95,10,41,1
20210101,14024.9,10,42,1
20210101,14024.85,10,43,1
20210101,14025.65,10,44,1
20210101,14026.25,10,45,1
20210101,14028.35,10,46,1
20210101,14031.35,10,47,1
20210101,14033.9,10,48,1
20210101,14035.65,10,49,-1
20210101,14035.05,10,50,-1
20210101,14028.9,10,51,1
20210101,14028.55,10,52,1
20210101,14029.15,10,53,1
20210101,14031.9,10,54,-1
20210101,14032.15,10,55,-1
20210101,14030.2,10,56,1
20210101,14031.85,10,57,-1
20210101,14031.05,10,58,1
20210101,14031.95,10,59,-1
20210101,14032.1,11,00,-1
20210101,14026.05,11,01,1
20210101,14028.0,11,02,1
20210101,14028.25,11,03,1
20210101,14029.35,11,04,-1
20210101,14027.95,11,05,-1
20210101,14026.95,11,06,1
20210101,14030.7,11,07,-1
20210101,14030.9,11,08,-1
20210101,14028.6,11,09,-1
20210101,14025.55,11,10,-1
20210101,14024.15,11,11,1
20210101,14024.55,11,12,1
20210101,14025.35,11,13,1
20210101,14024.75,11,14,1
20210101,14026.0,11,15,1
20210101,14028.9,11,16,1
20210101,14030.95,11,17,1
20210101,14032.75,11,18,-1
20210101,14032.95,11,19,1
20210101,14033.15,11,20,-1
20210101,14031.75,11,21,-1
20210101,14028.2,11,22,-1
20210101,14027.5,11,23,1
20210101,14028.5,11,24,1
20210101,14029.5,11,25,-1
20210101,14028.7,11,26,1
20210101,14030.05,11,27,-1
20210101,14028.35,11,28,1
20210101,14030.0,11,29,-1
20210101,14029.25,11,30,1
20210101,14030.7,11,31,1
20210101,14032.15,11,32,-1
20210101,14029.7,11,33,1
20210101,14031.25,11,34,1
20210101,14031.5,11,35,1
20210101,14031.15,11,36,1
20210101,14032.0,11,37,1
20210101,14033.15,11,38,-1
20210101,14031.85,11,39,-1
20210101,14025.5,11,40,-1
20210101,14024.15,11,41,-1
20210101,14021.55,11,42,-1
20210101,14020.9,11,43,-1
20210101,14019.15,11,44,1
20210101,14021.2,11,45,-1
20210101,14019.0,11,46,1
20210101,14022.8,11,47,1
20210101,14024.5,11,48,-1
20210101,14021.2,11,49,1
20210101,14022.0,11,50,1
20210101,14022.5,11,51,1
20210101,14022.3,11,52,-1
20210101,14017.7,11,53,-1
20210101,14015.9,11,54,-1
20210101,14015.65,11,55,1
20210101,14016.0,11,56,-1
20210101,14013.25,11,57,-1
20210101,14012.95,11,58,1
20210101,14013.0,11,59,-1
20210101,14006.35,12,00,1
20210101,14008.8,12,01,-1
20210101,14008.65,12,02,-1
20210101,14006.7,12,03,1
20210101,14006.5,12,04,1
20210101,14006.95,12,05,1
20210101,14011.9,12,06,1
20210101,14015.45,12,07,-1
20210101,14013.65,12,08,-1
20210101,14012.8,12,09,1
20210101,14013.9,12,10,1
20210101,14016.15,12,11,1
20210101,14019.05,12,12,1
20210101,14021.2,12,13,1
20210101,14022.45,12,14,1
20210101,14024.2,12,15,-1
20210101,14022.7,12,16,1
20210101,14024.55,12,17,-1
20210101,14021.85,12,18,1
20210101,14022.55,12,19,1
20210101,14021.7,12,20,1
20210101,14022.0,12,21,-1
20210101,14020.95,12,22,-1
20210101,14019.8,12,23,-1
20210101,14018.35,12,24,-1
20210101,14017.8,12,25,1
20210101,14017.85,12,26,-1
20210101,14017.7,12,27,-1
20210101,14017.55,12,28,1
20210101,14017.9,12,29,1
20210101,14018.85,12,30,1
20210101,14028.7,12,31,1
20210101,14033.65,12,32,-1
20210101,14032.85,12,33,1
20210101,14031.9,12,34,1
20210101,14032.0,12,35,1
20210101,14031.55,12,36,-1
20210101,14029.8,12,37,-1
20210101,14027.7,12,38,1
20210101,14029.7,12,39,1
20210101,14030.95,12,40,1
20210101,14033.65,12,41,-1
20210101,14032.7,12,42,1
20210101,14034.75,12,43,-1
20210101,14032.85,12,44,1
20210101,14036.1,12,45,1
20210101,14037.7,12,46,1
20210101,14038.45,12,47,-1
20210101,14037.65,12,48,-1
20210101,14035.8,12,49,-1
20210101,14034.25,12,50,-1
20210101,14030.6,12,51,-1
20210101,14028.9,12,52,1
20210101,14029.0,12,53,1
20210101,14029.4,12,54,1
20210101,14030.1,12,55,-1
20210101,14029.5,12,56,1
20210101,14031.5,12,57,1
20210101,14031.05,12,58,1
20210101,14032.0,12,59,1
20210101,14035.45,13,00,-1
20210101,14035.0,13,01,1
20210101,14035.2,13,02,-1
20210101,14029.1,13,03,1
20210101,14030.35,13,04,-1
20210101,14028.15,13,05,1
20210101,14031.55,13,06,1
20210101,14032.7,13,07,1
20210101,14032.95,13,08,-1
20210101,14032.45,13,09,1
20210101,14033.0,13,10,-1
